Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_0_:5	normal;	36	0	+0.000	0	0	0	0	1	1	+135.054	-2.878	+0.010	+1.226	+7.485	
wt	_seg_1_:5	normal;	64	0	+0.000	0	0	0	0	1	1	+295.503	+0.002	-0.001	+1.284	+1.804	
wt	_seg_2_:5	normal;	68	0	+0.000	1	0	0	0	1	0	+180.072	-0.012	-0.001	+0.758	+15.003	
wt	6	_none_	181	3	+0.034	0	2	0	0	1	1	+196.442	+0.008	-0.001	+0.847	-13.431	
wt	_seg_0_:6	_none_	36	0	+0.034	0	0	0	0	1	1	+196.442	+0.214	-0.001	+2.449	-3.510	
wt	_seg_1_:6	_none_	44	0	+0.034	0	2	0	0	1	1	+192.934	-0.657	-0.001	+0.391	+1.440	
wt	_seg_2_:6	_none_	88	0	+0.034	0	2	0	0	1	1	+192.934	+0.028	-0.001	+3.187	-49.519	
wt	8	_none_	181	2	+0.060	2	0	0	0	1	1	+168.818	+0.007	-0.001	+0.945	+0.801	
wt	_seg_0_:8	_none_	68	0	+0.060	0	1	0	0	1	1	+172.869	+0.090	-0.001	+0.632	+21.648	
wt	_seg_1_:8	_none_	104	0	+0.060	0	1	0	0	1	1	+140.926	-1.904	-0.001	+0.477	+1.831	
wt	9	normal;	179	2	+0.000	2	1	0	0	1	1	+140.316	+5.216	+0.029	+0.262	+16.779	
wt	_seg_0_:9	normal;	64	0	+0.000	2	0	0	0	1	1	+137.198	-0.295	+0.001	+6.528	+20.944	
wt	_seg_1_:9	normal;	104	0	+0.000	0	1	0	0	1	1	+120.048	+7.911	+0.057	+0.530	+2.628	
wt	12	normal;	173	3	+0.225	1	2	0	0	1	1	+133.387	+0.009	-0.001	+0.988	-9.159	
wt	_seg_0_:12	normal;	40	0	+0.225	2	0	0	0	1	0	+150.060	-0.069	-0.001	+2.732	+27.794	
wt	_seg_1_:12	normal;	84	0	+0.225	1	1	0	0	1	1	+234.877	+0.018	-0.001	+0.805	-11.022	
wt	_seg_2_:12	normal;	36	0	+0.225	0	1	0	0	1	1	+154.347	-0.104	-0.001	+3.182	+18.726	
wt	16	_none_	181	2	+0.001	0	3	0	0	1	2	+245.553	+0.006	-0.001	+1.462	-166.349	
wt	_seg_0_:16	_none_	36	0	+0.001	1	0	0	0	1	1	+166.220	+2.956	+0.007	+0.432	+6.117	
wt	_seg_1_:16	_none_	136	0	+0.001	1	1	0	0	1	1	+165.372	-0.021	-0.001	+0.914	+42.455	
wt	17	_none_	181	3	+0.000	0	2	0	0	1	1	+220.496	+0.005	-0.001	+0.693	-47.655	
wt	_seg_0_:17	_none_	76	0	+0.000	2	1	0	0	1	1	+214.371	-7.417	+0.045	+0.397	+7.323	
wt	_seg_1_:17	_none_	36	0	+0.000	1	0	0	0	1	0	+135.054	-0.125	-0.001	+6.342	+24.560	
wt	_seg_2_:17	_none_	56	0	+0.000	0	1	0	0	1	0	+225.090	+0.147	-0.000	+7.024	-16.751	
wt	18	_none_	181	2	+0.000	0	2	0	0	1	1	+257.246	+0.046	+0.003	+4.400	-44.878	
wt	_seg_0_:18	_none_	56	0	+0.000	2	0	0	0	1	1	+211.849	+0.209	-0.001	+0.958	+3.527	
wt	_seg_1_:18	_none_	116	0	+0.000	1	1	0	0	1	1	+120.048	-0.025	-0.001	+3.794	+95.794	
wt	20	_none_	181	2	+0.000	1	2	0	0	1	1	+234.877	+0.004	-0.001	+0.974	-224.246	
wt	_seg_0_:20	_none_	80	0	+0.000	0	2	0	0	1	1	+218.269	+0.016	-0.001	+0.643	-14.832	
wt	_seg_1_:20	_none_	92	0	+0.000	1	1	0	0	1	1	+213.419	+0.056	-0.000	+3.087	-27.700	
wt	21	_none_	181	3	+0.015	1	1	0	0	1	1	+270.108	+0.025	-0.001	+3.037	-62.270	
wt	_seg_0_:21	_none_	64	0	+0.015	0	2	0	0	1	1	+256.102	+0.073	-0.001	+2.801	-19.973	
wt	_seg_1_:21	_none_	36	0	+0.015	0	1	0	0	1	1	+144.058	+0.058	-0.001	+0.632	+1.692	
wt	_seg_2_:21	_none_	68	0	+0.015	0	0	0	0	1	1	+360.144	+0.104	-0.001	+0.868	+9.749	
wt	22	normal;	181	3	+0.366	0	1	0	0	1	1	+196.442	-0.002	-0.001	+0.961	+2.544	
wt	_seg_0_:22	normal;	36	0	+0.366	0	1	0	0	1	2	+144.058	+0.223	-0.000	+7.497	-8.246	
wt	_seg_1_:22	normal;	60	0	+0.366	0	1	0	0	1	1	+171.497	+10.838	+0.034	+0.474	+11.608	
wt	_seg_2_:22	normal;	72	0	+0.366	0	1	0	0	1	1	+123.478	+0.029	-0.001	+2.714	-40.954	
wt	24	_none_	181	2	+0.004	2	1	0	0	1	1	+292.009	+0.114	-0.001	+0.397	+39.673	
