frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
55,50.63,883.9680000000002,70.253,821,0.78,231.505,34.503,0.193,55,15,wt,normal;
56,51.26300000000001,881.425,45.0,763,0.698,247.061,35.805,0.157,56,15,wt,normal;
57,49.044,881.737,85.711,801,0.748,240.576,34.305,0.174,57,15,wt,normal;
58,51.227,878.825,31.43,810,0.7609999999999999,239.362,35.91,0.17800000000000002,58,15,wt,normal;
59,49.801,881.67,31.866,804,0.6920000000000001,252.818,34.988,0.158,59,15,wt,normal;
60,51.788,880.775,39.289,840,0.777,193.563,35.69300000000001,0.282,60,15,wt,normal;
61,52.317,880.944,14.675999999999998,763,0.726,236.576,35.471,0.171,61,15,wt,normal;
62,51.075,881.2760000000002,50.194,731,0.7240000000000001,227.848,33.035,0.177,62,15,wt,normal;
63,50.868,880.41,5.194,932,0.7140000000000001,300.416,36.276,0.13,63,15,wt,normal;
64,51.767,878.071,12.380999999999998,786,0.73,229.019,35.417,0.188,64,15,wt,normal;
65,49.451,881.492,174.144,754,0.7929999999999999,191.907,33.808,0.257,65,15,wt,normal;
66,48.977,880.513,22.62,713,0.7440000000000001,207.948,32.414,0.207,66,15,wt,normal;
67,48.294,882.2330000000002,45.0,783,0.784,206.291,32.275,0.231,67,15,wt,normal;
68,49.99800000000001,880.605,24.775,809,0.7340000000000001,244.576,34.908,0.17,68,15,wt,normal;
69,50.04600000000001,880.7860000000002,174.428,793,0.7170000000000001,243.747,34.843,0.168,69,15,wt,normal;
70,48.54600000000001,880.13,20.556,782,0.7340000000000001,245.161,36.379,0.163,70,15,wt,normal;
71,49.354,881.482,10.305,888,0.6970000000000001,275.061,35.845,0.147,71,15,wt,normal;
72,52.972,878.79,26.003,890,0.6809999999999999,322.558,36.69300000000001,0.107,72,15,wt,normal;
73,53.118,877.075,2.6630000000000003,850,0.71,297.103,36.071,0.121,73,15,wt,normal;
74,52.00100000000001,877.7510000000002,18.435,833,0.695,243.747,36.053,0.17600000000000002,74,15,wt,normal;
75,51.28100000000001,878.993,69.274,805,0.723,226.676,33.758,0.197,75,15,wt,normal;
