frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle,label
100,468.83099999999996,506.49,27.525,891,0.841,178.007,41.215,0.353,100,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
101,472.394,505.796,31.302,1016,0.856,191.66400000000002,41.326,0.348,101,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
102,473.16,506.148,29.4,894,0.8390000000000001,174.83599999999998,38.717,0.368,102,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
103,472.039,506.515,29.289,994,0.8220000000000001,212.635,43.211000000000006,0.276,103,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
104,471.75300000000004,506.36199999999997,27.647,860,0.843,168.35,39.606,0.381,104,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
105,477.07300000000004,508.754,28.816,1174,0.8290000000000001,230.676,51.873999999999995,0.27699999999999997,105,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
106,480.29699999999997,506.98800000000006,28.72,1012,0.848,184.25,44.865,0.375,106,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
107,480.81800000000004,505.728,30.754,1151,0.85,216.43400000000003,47.653,0.309,107,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
108,477.80199999999996,505.906,32.059,1127,0.833,231.505,44.75899999999999,0.264,108,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
109,475.54400000000004,505.681,32.713,1068,0.8440000000000001,206.97799999999998,41.568000000000005,0.313,109,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
110,477.25800000000004,507.466,29.033,871,0.835,192.83599999999998,38.198,0.294,110,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
111,476.73,506.923,31.603,975,0.878,168.69299999999998,39.281,0.431,111,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
