frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle
64,560.245,500.735,23.585,1257,0.691,378.884,67.86,0.11,64,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
65,551.982,485.564,20.405,1297,0.6970000000000001,374.056,80.931,0.11599999999999999,65,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
66,539.879,467.74199999999996,19.06,1379,0.618,507.73699999999997,92.12,0.067,66,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
67,535.68,458.465,14.619000000000002,549,0.5539999999999999,301.931,47.816,0.076,67,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
68,544.366,475.20300000000003,21.081999999999997,996,0.677,354.843,60.152,0.099,68,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
69,561.243,501.88699999999994,23.421,1314,0.7090000000000001,374.156,71.433,0.11800000000000001,69,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
70,572.93,519.531,20.94,1229,0.6990000000000001,347.529,74.727,0.128,70,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
71,571.985,521.997,22.668000000000003,1299,0.736,359.186,72.964,0.127,71,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
72,559.144,497.105,23.613000000000003,1329,0.7140000000000001,318.902,71.66,0.16399999999999998,72,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
73,546.837,474.98,20.938000000000002,1412,0.66,433.311,85.865,0.095,73,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
74,533.925,456.19699999999995,21.131,1345,0.649,419.855,81.042,0.096,74,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
75,533.168,454.01300000000003,22.355,1299,0.73,393.713,73.984,0.105,75,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
76,534.692,458.963,25.574,1259,0.695,322.215,62.681999999999995,0.152,76,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
77,535.374,458.54699999999997,23.798000000000002,1160,0.7240000000000001,300.17400000000004,62.062,0.162,77,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
78,540.377,466.465,24.339000000000002,1244,0.715,354.014,65.077,0.125,78,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
79,548.819,479.103,22.410999999999998,1265,0.675,347.42800000000005,71.867,0.132,79,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
80,556.467,490.158,22.340999999999998,1352,0.674,439.21,77.05199999999999,0.08800000000000001,80,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
81,561.722,499.457,21.625,1237,0.6829999999999999,364.014,72.833,0.11699999999999999,81,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
82,563.063,503.534,22.845,1223,0.736,330.801,68.163,0.14,82,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
83,561.672,502.93699999999995,20.548000000000002,950,0.693,308.902,58.865,0.125,83,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
84,559.31,501.765,23.076999999999998,952,0.769,237.362,52.525,0.212,84,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
85,556.9490000000001,499.51800000000003,22.281999999999996,993,0.72,307.487,56.742,0.132,85,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
86,557.545,497.603,24.643,969,0.737,236.333,50.066,0.218,86,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
87,557.001,498.85699999999997,26.851999999999997,1233,0.754,327.83099999999996,58.465,0.14400000000000002,87,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
